consensus99	consensus99_modSize	individual26	individual26_modSize	pval_individual26	countOverlap_individual26	best_in_individual26	consensus26	consensus26_modSize	pval_consensus26	countOverlap_consensus26	best_in_consensus26	consensus99_sigTermsLogBH1	individual26_sigTermsLogBH1	consensus26_sigTermsLogBH1	consensus99_individual26_intersection_sigTermsLogBH1	consensus99_consensus26_intersection_sigTermsLogBH1	consensus99_individual26_Jaccard_sigTermsLogBH1	consensus99_consensus26_Jaccard_sigTermsLogBH1	JI_diff
turquoise	1327	greenyellow	613	2.07160931771635e-284	387	reciprocal	brown	568	2.19794527820015e-284	374	reciprocal	430	2	363	2	213	0.000612932883849218	0.131400370141888	0.130787437258038
lightcyan	187	brown	1278	1.98709232961499e-125	145	salmon	magenta	454	4.8269250723727e-143	119	reciprocal	117	88	85	75	81	0.0229849831443457	0.0499691548426897	0.026984171698344
black	468	green	1201	2.54980381035125e-199	276	reciprocal	tan	377	3.73913803100826e-268	224	reciprocal	125	25	23	11	20	0.0033711308611707	0.0123380629241209	0.00896693206295021
blue	1062	yellow	1221	0	547	reciprocal	black	500	1.35594550158946e-261	315	reciprocal	47	69	78	21	24	0.00643579528041679	0.0148056755089451	0.0083698802285283
cyan	282	yellow	1221	2.28953998618829e-65	123	blue	lightgreen	170	4.16598217164937e-93	77	reciprocal	43	69	30	14	17	0.00429053018694453	0.0104873534855028	0.00619682329855825
brown	1041	blue	1338	0	549	reciprocal	green	536	6.61700137117904e-294	343	reciprocal	13	9	10	3	4	0.000919399325773828	0.00246761258482418	0.00154821325905036
purple	369	red	1134	1.48780800736941e-234	266	reciprocal	black	500	3.81486891011295e-79	109	blue	11	101	78	4	4	0.00122586576769844	0.00246761258482418	0.00124174681712575
grey	6265	grey	1072	0	1011	reciprocal	grey	7233	0	4985	reciprocal	0	0	0	0	0	0	0	0
greenyellow	368	purple	669	1.11693398996224e-37	81	darkturquoise	lightcyan	292	1.85743334885838e-64	79	reciprocal	0	20	0	0	0	0	0	0
lightyellow	169	purple	669	3.83536658628238e-65	79	darkturquoise	lightyellow	146	7.97590321581322e-112	73	reciprocal	0	20	0	0	0	0	0	0
darkgreen	160	blue	1338	4.0722524939407e-59	92	brown	white	87	1.76985663057222e-19	18	reciprocal	0	9	0	0	0	0	0	0
royalblue	167	pink	868	8.17142797299173e-62	83	midnightblue	royalblue	145	9.24306440413218e-85	60	reciprocal	1	1	2	0	0	0	0	0
salmon	286	brown	1278	8.23556775032157e-150	194	reciprocal	turquoise	678	1.48671411933531e-98	125	red	8	88	58	0	0	0	0	0
midnightblue	237	pink	868	8.09597221187327e-102	128	reciprocal	yellow	544	4.00976478068089e-150	140	reciprocal	1	1	48	0	0	0	0	0
darkorange	70	salmon	503	6.3724819868592e-63	51	reciprocal	yellow	544	1.31438067563987e-53	47	midnightblue	0	7	48	0	0	0	0	0
skyblue	62	purple	669	5.23156181527666e-41	40	darkturquoise	darkturquoise	113	4.02441362920473e-77	41	reciprocal	2	20	1	0	0	0	0	0
white	68	midnightblue	376	1.26145220583802e-115	68	reciprocal	darkorange	92	2.25148489442853e-56	32	reciprocal	0	4	1	0	0	0	0	0
red	610	black	947	0	392	reciprocal	turquoise	678	0	341	reciprocal	9	22	58	5	2	0.00153233220962305	0.00123380629241209	-0.000298525917210955
pink	434	lightgreen	315	4.66569989381887e-166	154	reciprocal	midnightblue	296	4.7659355431409e-161	148	reciprocal	118	20	20	12	5	0.00367759730309531	0.00308451573103023	-0.000593081572065082
darkturquoise	100	purple	669	2.78726086350042e-90	78	reciprocal	lightyellow	146	3.57489240566564e-12	13	lightyellow	32	20	0	11	0	0.0033711308611707	0	-0.0033711308611707
grey60	179	lightcyan	362	2.14467713227594e-118	98	reciprocal	yellow	544	1.87746948470782e-37	54	midnightblue	95	298	48	66	11	0.0202267851670242	0.0067859346082665	-0.0134408505587577
green	650	magenta	728	1.44087563326561e-197	263	reciprocal	greenyellow	435	8.67963622693772e-179	205	reciprocal	140	190	30	92	20	0.0281949126570641	0.0123380629241209	-0.0158568497329431
yellow	761	turquoise	1703	2.04460255807966e-239	431	reciprocal	blue	627	1.67373344939203e-297	331	reciprocal	171	465	36	118	31	0.0361630401471039	0.0191239975323874	-0.0170390426147165
magenta	403	royalblue	214	2.67564149683558e-106	100	reciprocal	grey	7233	1.19137231173951e-59	331	grey	258	94	0	86	0	0.0263561140055164	0	-0.0263561140055164
