consensus99	consensus99_modSize	individual26	individual26_modSize	pval_individual26	countOverlap_individual26	consensus26	consensus26_modSize	pval_consensus26	countOverlap_consensus26	consensus99_individual26_Jaccard_sigTermsLogBH1	consensus99_consensus26_Jaccard_sigTermsLogBH1	JI_diff
turquoise	1327	greenyellow	613	2.07160931771635e-284	387	brown	568	2.19794527820015e-284	374	0.000612932883849218	0.131400370141888	0.130787437258038
black	468	green	1201	2.54980381035125e-199	276	tan	377	3.73913803100826e-268	224	0.0033711308611707	0.0123380629241209	0.00896693206295021
blue	1062	yellow	1221	0	547	black	500	1.35594550158946e-261	315	0.00643579528041679	0.0148056755089451	0.0083698802285283
brown	1041	blue	1338	0	549	green	536	6.61700137117904e-294	343	0.000919399325773828	0.00246761258482418	0.00154821325905036
grey	6265	grey	1072	0	1011	grey	7233	0	4985	0	0	0
midnightblue	237	pink	868	8.09597221187327e-102	128	yellow	544	4.00976478068089e-150	140	0	0	0
white	68	midnightblue	376	1.26145220583802e-115	68	darkorange	92	2.25148489442853e-56	32	0	0	0
red	610	black	947	0	392	turquoise	678	0	341	0.00153233220962305	0.00123380629241209	-0.000298525917210955
pink	434	lightgreen	315	4.66569989381887e-166	154	midnightblue	296	4.7659355431409e-161	148	0.00367759730309531	0.00308451573103023	-0.000593081572065082
green	650	magenta	728	1.44087563326561e-197	263	greenyellow	435	8.67963622693772e-179	205	0.0281949126570641	0.0123380629241209	-0.0158568497329431
yellow	761	turquoise	1703	2.04460255807966e-239	431	blue	627	1.67373344939203e-297	331	0.0361630401471039	0.0191239975323874	-0.0170390426147165
